# tower_count	lat	lng
3	-13.53	-71.98
10	-13.52	-71.98
3	-13.52	-71.97
5	-13.51	-71.98
1	-13.32	-72.09
12	-12.12	-77.03
2	-12.11	-77.03
6	-12.10	-77.04
4	-12.10	-77.03
1	-12.09	-77.03
1	-12.09	-77.02
1	-4.05	-73.14
2	-3.79	-73.30
1	-3.78	-73.30
1	-3.78	-73.29
1	-3.77	-73.29
1	-3.77	-73.27
2	-3.75	-73.25
1	-3.73	-73.19
2	1.26	103.82
1	1.27	103.83
1	1.28	103.81
1	1.28	103.85
3	1.29	103.80
2	1.29	103.81
1	1.29	103.82
1	1.29	103.84
4	1.29	103.85
1	1.29	103.86
1	1.29	103.87
1	1.30	103.77
2	1.30	103.78
1	1.30	103.80
1	1.30	103.85
5	1.30	103.86
1	1.30	103.89
1	1.30	103.91
1	1.31	103.76
2	1.31	103.77
2	1.31	103.78
1	1.31	103.79
1	1.31	103.95
2	1.32	103.71
1	1.32	103.75
4	1.32	103.76
1	1.33	103.69
1	1.33	103.73
1	1.33	103.74
1	1.33	103.75
2	1.33	103.76
1	1.33	103.77
6	1.34	103.70
3	1.34	103.71
1	1.34	103.73
1	1.34	103.74
1	1.34	103.75
5	1.35	103.70
1	1.35	103.71
1	1.35	103.72
1	1.36	103.73
3	12.94	77.70
2	12.95	77.70
2	12.96	77.64
2	12.97	77.57
4	12.97	77.64
2	12.97	77.70
3	12.98	77.57
1	12.98	77.60
3	12.98	77.62
1	12.98	77.63
3	12.98	77.64
1	12.98	77.69
2	12.99	77.55
1	12.99	77.56
2	12.99	77.59
1	12.99	77.69
7	13.00	77.55
1	13.00	77.58
1	13.00	77.66
2	13.00	77.67
4	13.00	77.68
1	13.01	77.54
8	13.01	77.55
4	13.01	77.56
2	13.01	77.57
2	13.01	77.58
1	13.01	77.66
3	13.02	77.58
2	13.02	77.64
2	13.02	77.65
2	13.02	77.66
3	13.03	77.59
3	13.03	77.63
1	13.03	77.64
1	13.04	77.59
1	13.04	77.60
2	13.04	77.61
3	13.04	77.62
1	13.04	77.63
1	13.71	76.91
1	13.84	76.73
1	13.87	76.70
1	13.89	76.68
1	13.91	76.67
1	13.94	76.63
1	13.96	76.62
1	13.98	76.60
1	14.00	76.59
1	14.02	76.58
1	14.22	76.39
1	14.23	76.39
2	14.23	76.40
1	18.53	73.85
1	18.56	73.81
1	29.70	-95.54
1	29.71	-95.54
1	29.88	-95.32
1	30.37	-98.35
1	30.91	-97.55
1	30.94	-97.54
1	30.98	-97.51
1	30.99	-97.50
1	31.03	-97.45
1	31.04	-97.47
1	31.05	-97.46
1	31.06	-97.45
1	31.07	-97.43
1	31.07	-97.42
1	31.09	-97.39
1	31.09	-97.37
1	31.10	-97.36
1	31.11	-97.36
1	31.12	-97.35
1	31.13	-97.33
1	31.16	-97.32
1	31.17	-97.32
1	31.21	-97.30
1	31.24	-97.28
1	31.24	121.52
1	31.29	-97.26
1	31.33	-97.24
1	31.38	-97.21
1	31.42	-97.20
1	31.45	-97.18
1	31.47	-97.17
2	31.48	-97.16
1	31.49	-97.15
1	31.50	-97.15
1	31.51	-97.14
1	31.52	-97.14
1	31.54	-97.13
1	31.55	-97.12
1	31.56	-97.12
1	31.57	-97.12
1	31.58	-97.12
2	31.59	-97.12
1	31.60	-97.12
2	31.62	-97.13
2	31.65	-97.14
1	31.68	-97.17
1	31.69	-97.16
1	31.70	-97.19
1	31.72	-97.22
1	31.74	-97.18
1	31.77	-97.15
1	31.79	-97.12
1	31.79	-97.10
1	31.80	-97.12
1	31.86	-97.09
1	31.89	-97.09
1	31.92	-97.10
1	31.93	-97.11
1	31.99	-97.13
1	32.00	-97.13
1	32.02	-97.12
1	32.05	-97.09
1	32.09	-97.03
1	32.12	-96.98
1	32.15	-96.93
1	32.19	-96.90
1	32.24	-96.88
1	32.29	-96.87
1	32.30	-96.86
1	32.35	-96.86
1	32.37	-96.86
1	32.40	-96.87
1	32.42	-96.86
1	32.44	-96.85
1	32.46	-96.84
1	32.47	-96.84
1	32.50	-96.83
1	32.53	-96.82
1	32.55	-96.82
1	32.56	-96.82
1	32.58	-96.82
1	32.60	-96.82
1	32.61	-96.82
2	32.63	-96.82
1	32.64	-96.82
1	32.65	-96.82
1	32.66	-96.82
1	32.69	-96.82
